연도,시도,시군구,계약종별, 1월, 2월, 3월, 4월, 5월, 6월, 7월, 8월, 9월, 10월, 11월, 12월
2014,충청남도,홍성군,가로등,929872,870941,834562,804543,764466,745286,758539,822028,861499,937523,990304,1021565
2014,충청남도,홍성군,심 야,14507211,14296090,11065853,8581541,5647110,3056388,1788191,1617974,1824362,2879028,6732929,11654655
2014,충청남도,예산군,주택용,9420504,9665361,8274183,8643333,8104153,8098003,8040734,8855786,8427660,7876775,8604040,9061993
2014,충청남도,예산군,일반용,15277675,14923818,12708264,11726171,10667949,11034689,11889800,13170691,12570753,10437301,11496161,13768408
2014,충청남도,예산군,교육용,1315650,1154995,1084884,981093,678204,617764,702061,672773,634256,642083,851748,1364104
2014,충청남도,예산군,산업용,36234777,33876370,35276573,35288976,33607572,31945650,34912358,32187920,30948731,33563543,33622558,38727589
2014,충청남도,예산군,농사용,9467113,9625560,8496306,7127920,8061640,8374201,7353007,9192352,8870622,6925421,11940092,8841101
2014,충청남도,예산군,가로등,780377,748989,695299,665414,618846,592220,593823,653074,688653,759524,807355,849515
2014,충청남도,예산군,심 야,16045512,16185727,12459934,9407327,5841518,3214314,2113130,1976679,2257818,3317281,7549459,12430847
2014,충청남도,당진시,주택용,19410405,19366338,17023563,17753799,16808588,17018767,17439264,19393017,17953768,16752957,18098593,19095218
2014,충청남도,당진시,일반용,29529886,28600337,24699189,23150682,20775235,21830485,23980951,26095047,23751707,21404722,23054303,27424641
2014,충청남도,당진시,교육용,2116992,1934773,1732689,1356033,1050704,1054556,1199180,1049371,1138473,1042701,1352233,2331577
2014,충청남도,당진시,산업용,978282793,860342207,1007407199,969787682,986593627,975275307,958350929,927681043,916938746,962387676,941005912,904746269
2014,충청남도,당진시,농사용,10075939,10109967,8796701,8703249,14688867,15909810,12348332,13027708,13585700,9165313,15822633,9365581
2014,충청남도,당진시,가로등,896604,851182,794438,785760,720419,675859,669815,713988,772894,869558,974492,1025150
2014,충청남도,당진시,심 야,24059124,23919314,18470776,14018880,9034702,4989538,3011949,2794778,3225704,5092667,11274474,18515070
2014,충청남도,태안군,주택용,6402246,6545499,5675568,5992765,5749232,5780431,5697316,6563243,6196814,5714299,6045638,6371844
2014,충청남도,태안군,일반용,16389794,15825510,14281517,14034739,13144833,12734867,13302379,16742118,14452915,13262114,13936356,15294024
2014,충청남도,태안군,교육용,883233,806086,799774,767369,540084,481136,520407,518387,507173,474671,580217,920835
2014,충청남도,태안군,산업용,3640007,2845764,3023211,5037121,3310441,3810308,3591629,5563554,11702789,8667502,14957672,6846462
2014,충청남도,태안군,농사용,7179873,6996967,6742631,6490419,6440933,6218168,6312489,8258101,9578352,8115267,21432593,8132129
2014,충청남도,태안군,가로등,614835,535339,539223,478649,445675,413455,436556,483547,518211,584368,617061,655156
2014,충청남도,태안군,심 야,16871947,16922566,13550427,11339812,8205248,4972032,2934964,2966084,3035515,4354654,8418658,13410846
2014,전라북도,군산시,주택용,32056992,32370901,28326933,29947874,27962880,28106201,28057633,31833050,29588100,27305669,29611767,31239001
2014,전라북도,군산시,일반용,54614415,52842768,46663250,44086322,39109261,41936120,45903232,50563565,45674224,40252289,42058972,50221502
2014,전라북도,군산시,교육용,4393975,4206001,4396827,3880750,2931282,2830211,3117705,2886946,2982699,2922178,3575915,5396528
2014,전라북도,군산시,산업용,627360136,568932532,642223974,634048109,654811376,638356306,642176594,546823402,616101592,652996502,620148261,635778003
2014,전라북도,군산시,농사용,3549363,3436279,3011832,3445119,5990024,8558980,6069866,6032208,6504966,4037898,5469197,3944114
2014,전라북도,군산시,가로등,2005015,2057968,2008794,1905728,1722239,1617471,1556137,1657612,1794814,1995620,2189951,2245638
2014,전라북도,군산시,심 야,20744962,20894897,16637192,12973976,7994523,4463763,2800082,2569111,2851086,3983129,9553256,16586253
2014,전라북도,익산시,주택용,34009342,34390441,29949354,31516399,29412089,29705295,29791289,33230639,31016072,28912491,31214585,32742254
2014,전라북도,익산시,일반용,46969470,45266746,39043507,37323037,32874286,35510487,38670186,42971387,38422562,33880699,35254328,41828041
2014,전라북도,익산시,교육용,6648247,6124088,5681929,5453948,3998002,4076994,4556309,4561727,4110414,4093139,4474171,6520286
2014,전라북도,익산시,산업용,171223827,157155619,170616170,169122186,168845414,170744738,183031719,165628288,140064143,148343455,146682363,151329619
2014,전라북도,익산시,농사용,12837243,12911178,11422897,9352316,10065268,13376126,12127807,14355601,12423958,10344078,17420082,13326663
2014,전라북도,익산시,가로등,1373894,1257508,1168034,1116715,1009316,943814,948476,1031849,1094111,1213971,1313114,1398322
2014,전라북도,익산시,심 야,31121418,30781131,24342754,18705526,10840342,5836711,3652943,3281543,3778646,5653473,14167758,24521139
2014,전라북도,정읍시,주택용,12453579,12680993,10937328,11562500,10949572,10926997,10765292,12112772,11470256,10694458,11628679,12138409
2014,전라북도,정읍시,일반용,17271056,16747868,14347137,13437641,11858387,12480922,13415086,14862865,13352021,11943212,13320844,15712556
2014,전라북도,정읍시,교육용,1636128,1534337,1453165,1451026,919569,889267,1035390,960238,865616,843928,1056247,1737311
2014,전라북도,정읍시,산업용,60292346,56660337,56337257,61566629,61144437,59970538,63823478,62043266,60003841,64013344,59996007,60606260
2014,전라북도,정읍시,농사용,13621074,13672931,11612057,10735515,10214976,12204050,13278663,15771424,14672762,11961260,18277437,14123888
2014,전라북도,정읍시,가로등,1641733,1497042,1469159,1357638,1290372,1209413,1230156,1315979,1401017,1564662,1663702,1741766
2014,전라북도,정읍시,심 야,14842648,14829382,11615076,8971165,5610052,2926159,1950694,1868651,2084231,2994820,6758073,11351913
2014,전라북도,남원시,주택용,9170972,9283109,8093744,8464063,7966377,7897837,7744270,8595346,8211242,7811533,8529551,8928792
2014,전라북도,남원시,일반용,14885017,14154418,12400481,11873115,10379076,10714476,11332767,12804688,11597339,10536054,11655354,13468213
2014,전라북도,남원시,교육용,1271223,1178535,1370953,957772,729556,705714,742923,642785,689232,755695,1092527,1754897
2014,전라북도,남원시,산업용,12942097,11822601,11879319,12445105,10952630,11130022,11178288,10773393,10155131,10579693,10973231,11357372
2014,전라북도,남원시,농사용,7736795,7377369,7272854,6988983,5583785,6241815,6050954,8464676,8651099,6816831,7441396,11397961
2014,전라북도,남원시,가로등,911905,851186,804378,792292,756292,745120,698941,751893,797113,824532,884633,931835
2014,전라북도,남원시,심 야,8599604,8528971,6794873,5290476,3446052,1967318,1366203,1297755,1392710,2025249,4309067,6763967
2014,전라북도,김제시,주택용,9175214,9307638,8144767,8529629,8096274,8084046,8005692,8840948,8452226,7870604,8477344,8948555
