연도	시도	시군구	업종별	 1월 
2026	서울특별시	관악구	유      리	 476 
2026	서울특별시	관악구	시  멘  트	 20,172 
2026	서울특별시	관악구	1차   금속	 3,409 
2026	서울특별시	관악구	조립  금속	 18,876 
2026	서울특별시	관악구	기타  기계	 21,800 
2026	서울특별시	관악구	전기  기기	 408 
2026	서울특별시	관악구	영상. 음향	 20,527 
2026	서울특별시	관악구	의료. 광학	 47,980 
2026	서울특별시	관악구	자  동  차	 20,834 
2026	서울특별시	관악구	기타  운송	 4,867 
2026	서울특별시	관악구	가구및기타	 64,734 
2026	서울특별시	관악구	수      도	 794,643 
2026	서울특별시	관악구	사업자  용	 160,275 
2026	서울특별시	관악구	가정용부문	 59,374,703 
2026	서울특별시	관악구	국  군  용	 2,422,456 
2026	서울특별시	관악구	기타공공용	 25,299,437 
2026	서울특별시	관악구	관  공  용	 2,478,793 
2026	서울특별시	관악구	순수써비스	 69,795,087 
2026	서울특별시	관악구	합 계	 161,797,024 
2026	서울특별시	강남구	농업. 임업	 105,158 
2026	서울특별시	강남구	어      업	 1,784 
2026	서울특별시	강남구	식료품제조	 252,535 
2026	서울특별시	강남구	음료품제조	 281 
2026	서울특별시	강남구	섬      유	 34,822 
2026	서울특별시	강남구	의복. 모피	 109,579 
2026	서울특별시	강남구	펄프. 종이	 17,362 
2026	서울특별시	강남구	출판. 인쇄	 69,143 
2026	서울특별시	강남구	화학  제품	 3,391 
2026	서울특별시	강남구	고무. 플라	 7,257 
2026	서울특별시	강남구	유      리	 11,190 
2026	서울특별시	강남구	시  멘  트	 210,323 
2026	서울특별시	강남구	1차   금속	 283 
2026	서울특별시	강남구	조립  금속	 14,558 
2026	서울특별시	강남구	기타  기계	 12,908 
2026	서울특별시	강남구	전기  기기	 361 
2026	서울특별시	강남구	영상. 음향	 764 
2026	서울특별시	강남구	의료. 광학	 96,762 
2026	서울특별시	강남구	자  동  차	 65,717 
2026	서울특별시	강남구	가구및기타	 35,073 
2026	서울특별시	강남구	수      도	 1,403,355 
2026	서울특별시	강남구	사업자  용	 1,046,292 
2026	서울특별시	강남구	전      철	 4,325,849 
2026	서울특별시	강남구	가정용부문	 90,383,056 
2026	서울특별시	강남구	국  군  용	 18,727 
2026	서울특별시	강남구	기타공공용	 9,286,170 
2026	서울특별시	강남구	관  공  용	 6,078,444 
2026	서울특별시	강남구	순수써비스	 361,974,323 
2026	서울특별시	강남구	합 계	 475,565,467 
2026	서울특별시	강동구	농업. 임업	 224,332 
2026	서울특별시	강동구	어      업	 18,664 
2026	서울특별시	강동구	금속비금속	 1,287 
2026	서울특별시	강동구	식료품제조	 315,706 
2026	서울특별시	강동구	음료품제조	 75,028 
2026	서울특별시	강동구	섬      유	 203,856 
2026	서울특별시	강동구	의복. 모피	 211,062 
2026	서울특별시	강동구	가죽. 신발	 131,099 
2026	서울특별시	강동구	목재. 나무	 870 
2026	서울특별시	강동구	펄프. 종이	 8,970 
2026	서울특별시	강동구	출판. 인쇄	 14,972 
2026	서울특별시	강동구	화학  제품	 1,790,695 
2026	서울특별시	강동구	고무. 플라	 9,727 
2026	서울특별시	강동구	유      리	 2,883 
2026	서울특별시	강동구	시  멘  트	 11,954 
2026	서울특별시	강동구	1차   금속	 16,604 
2026	서울특별시	강동구	조립  금속	 9,737 
2026	서울특별시	강동구	기타  기계	 30,190 
2026	서울특별시	강동구	사무  기기	 1,420 
2026	서울특별시	강동구	전기  기기	 110,700 
2026	서울특별시	강동구	영상. 음향	 6,341 
2026	서울특별시	강동구	의료. 광학	 73,802 
2026	서울특별시	강동구	자  동  차	 32,122 
2026	서울특별시	강동구	가구및기타	 106,323 
2026	서울특별시	강동구	수      도	 11,006,121 
2026	서울특별시	강동구	사업자  용	 345,174 
2026	서울특별시	강동구	전      철	 455,563 
2026	서울특별시	강동구	가정용부문	 66,850,018 
2026	서울특별시	강동구	기타공공용	 7,654,812 
2026	서울특별시	강동구	관  공  용	 1,569,493 
2026	서울특별시	강동구	순수써비스	 81,887,203 
2026	서울특별시	강동구	합 계	 173,176,728 
2026	서울특별시	송파구	농업. 임업	 94,208 
2026	서울특별시	송파구	어      업	 8,294 
2026	서울특별시	송파구	금속비금속	 281 
