year,month,headquarter,hour_count,load_MWh,electricity_cost_won,emission_tCO2eq,emission_kgCO2eq
2023,4,경기본부,720,6726012,493585564200.0,2806764.8076,2806764807.6
2023,4,경기북부본부,720,1719960,126850152600.0,717739.308,717739308.0
2023,4,경남본부,720,1821980,133029225300.0,760312.254,760312254.0
2023,4,경북본부,720,1070479,77655426000.0,446710.88670000003,446710886.7
2023,4,광주전남본부,720,2718829,197744112900.0,1134567.3417,1134567341.7
2023,4,남서울본부,720,1630562,121743261000.0,680433.5226,680433522.6
2023,4,대구본부,720,2635171,193364564400.0,1099656.8583,1099656858.3
2023,4,대전세종충남본부,720,4409461,320835381000.0,1840068.0753,1840068075.3
2023,4,부산울산본부,720,4407593,321027886800.0,1839288.5589,1839288558.9
2023,4,서울본부,720,1228600,91756967400.0,512694.78,512694780.0
2023,4,인천본부,720,2409594,178019879400.0,1005523.5762,1005523576.2
2023,4,전북본부,720,1402080,101952317100.0,585087.984,585087984.0
2023,4,제주본부,720,418618,30532076700.0,174689.2914,174689291.4
2023,4,충북본부,720,2010470,146286946500.0,838969.131,838969131.0
2023,5,강원본부,744,1232707,89337644700.0,514408.6311,514408631.1
2023,5,경기본부,744,7024894,517126112100.0,2931488.2662,2931488266.2
2023,5,경기북부본부,744,1701129,126033827700.0,709881.1317,709881131.7
2023,5,경남본부,744,1844149,135426751200.0,769563.3777,769563377.7
2023,5,경북본부,744,1096978,79787089500.0,457768.9194,457768919.4
2023,5,광주전남본부,744,2828617,206136059400.0,1180381.8741,1180381874.1
2023,5,남서울본부,744,1780577,133443571800.0,743034.7821,743034782.1
2023,5,대구본부,744,2704428,199057684200.0,1128557.8044,1128557804.4
2023,5,대전세종충남본부,744,4453776,325071300900.0,1858560.7248,1858560724.8
2023,5,부산울산본부,744,4575881,334530458400.0,1909515.1413,1909515141.3
2023,5,서울본부,744,1351893,101314551000.0,564144.9489,564144948.9
2023,5,인천본부,744,2529014,187356168900.0,1055357.5422,1055357542.2
2023,5,전북본부,744,1413376,103180704300.0,589801.8048,589801804.8
2023,5,제주본부,744,415629,30526931100.0,173441.9817,173441981.7
2023,5,충북본부,744,2080337,151856977200.0,868124.6301,868124630.1
2023,6,강원본부,720,1214663,88433208600.0,506878.8699,506878869.9
2023,6,경기본부,720,7463847,550521327900.0,3114663.3531,3114663353.1
2023,6,경기북부본부,720,1886034,140174810700.0,787041.9882,787041988.2
2023,6,경남본부,720,1918901,141488686800.0,800757.3873000001,800757387.3
2023,6,경북본부,720,1094518,79865799900.0,456742.3614,456742361.4
2023,6,광주전남본부,720,2854074,208673349000.0,1191005.0802,1191005080.2
2023,6,남서울본부,720,1973174,148506258600.0,823405.5102,823405510.2
2023,6,대구본부,720,2780415,205282244100.0,1160267.1795,1160267179.5
2023,6,대전세종충남본부,720,4689370,343147115100.0,1956874.101,1956874101.0
2023,6,부산울산본부,720,4623588,338445987000.0,1929423.2724,1929423272.4
2023,6,서울본부,720,1508987,113552312700.0,629700.2751,629700275.1
2023,6,인천본부,720,2631424,195764927700.0,1098093.2352,1098093235.2
2023,6,전북본부,720,1420917,104122786800.0,592948.6641,592948664.1
2023,6,제주본부,720,424416,31438131900.0,177108.7968,177108796.8
2023,6,충북본부,720,2156596,157775352300.0,899947.5108,899947510.8
2023,7,강원본부,744,1331451,136266331200.0,555614.5023,555614502.3
2023,7,경기본부,744,8275379,866593247300.0,3453315.6567,3453315656.7
2023,7,경기북부본부,744,2194912,233057946200.0,915936.7776,915936777.6
2023,7,경남본부,744,2128625,223389224500.0,888275.2125,888275212.5
2023,7,경북본부,744,1182902,121361914500.0,493625.0046,493625004.6
2023,7,광주전남본부,744,3101822,319046849000.0,1294390.3206,1294390320.6
2023,7,남서울본부,744,2408738,261152939100.0,1005166.3674,1005166367.4
2023,7,대구본부,744,3063619,321448873000.0,1278448.2087,1278448208.7
2023,7,대전세종충남본부,744,5108924,525185491700.0,2131953.9852,2131953985.2
2023,7,부산울산본부,744,5208471,538342524000.0,2173494.9483,2173494948.3
2023,7,서울본부,744,1843690,199602180300.0,769371.837,769371837.0
2023,7,인천본부,744,3056923,324985105800.0,1275653.9679,1275653967.9
2023,7,전북본부,744,1561142,161533152400.0,651464.5566,651464556.6
2023,7,제주본부,744,513687,54154054300.0,214361.5851,214361585.1
2023,7,충북본부,744,2325468,239593653300.0,970417.7964,970417796.4
2023,8,강원본부,744,1346626,138033037100.0,561947.0298,561947029.8
2023,8,경기본부,744,8452445,886674861000.0,3527205.2985,3527205298.5
2023,8,경기북부본부,744,2280215,242272737300.0,951533.7195,951533719.5
2023,8,경남본부,744,2158052,227928381800.0,900555.0996,900555099.6
2023,8,경북본부,744,1262924,130040399400.0,527018.1852,527018185.2
2023,8,광주전남본부,744,3238780,334241427300.0,1351542.894,1351542894.0
2023,8,남서울본부,744,2541255,275401279900.0,1060465.7115,1060465711.5
2023,8,대구본부,744,3098295,326271584300.0,1292918.5035,1292918503.5
2023,8,대전세종충남본부,744,5165263,534844878000.0,2155464.2499,2155464249.9
2023,8,부산울산본부,744,5457212,565880614800.0,2277294.5676,2277294567.6
2023,8,서울본부,744,1942552,210133205600.0,810626.9496,810626949.6
2023,8,인천본부,744,3204432,341025326600.0,1337209.4736,1337209473.6
2023,8,전북본부,744,1607144,166985696300.0,670661.1912,670661191.2
2023,8,제주본부,744,547616,57973617000.0,228520.1568,228520156.8
2023,8,충북본부,744,2358229,243738559000.0,984088.9617,984088961.7
2023,9,강원본부,720,1236957,90194852400.0,516182.1561,516182156.1
2023,9,경기본부,720,7449912,549584969400.0,3108848.2776,3108848277.6
2023,9,경기북부본부,720,1952662,145169992800.0,814845.8526,814845852.6
2023,9,경남본부,720,1925158,142169592300.0,803368.4334,803368433.4
2023,9,경북본부,720,1136409,82928634600.0,474223.4757,474223475.7
2023,9,광주전남본부,720,2954254,216424816200.0,1232810.1942,1232810194.2
2023,9,남서울본부,720,2087774,157052957700.0,871228.0902,871228090.2
2023,9,대구본부,720,2752980,203236780200.0,1148818.554,1148818554.0
2023,9,대전세종충남본부,720,4958399,363331459800.0,2069139.9027,2069139902.7
2023,9,부산울산본부,720,4940023,362063954700.0,2061471.5979,2061471597.9
2023,9,서울본부,720,1586594,119329145700.0,662085.6762,662085676.2
2023,9,인천본부,720,2752902,204727947300.0,1148786.0046,1148786004.6
2023,9,전북본부,720,1450029,106298153700.0,605097.1017,605097101.7
2023,9,제주본부,720,462252,34398765000.0,192897.7596,192897759.6
2023,9,충북본부,720,2114237,154723132200.0,882271.1001,882271100.1
2023,10,강원본부,744,1244846,90186126000.0,519474.2358,519474235.8
2023,10,경기본부,744,7011106,515665561200.0,2925734.5338,2925734533.8
2023,10,경기북부본부,744,1841165,136114736100.0,768318.1545000001,768318154.5
2023,10,경남본부,744,1841002,135343960800.0,768250.1346,768250134.6
2023,10,경북본부,744,1109615,80713777500.0,463042.3395,463042339.5
2023,10,광주전남본부,744,2741105,200103441300.0,1143863.1165,1143863116.5
2023,10,남서울본부,744,1771125,132453895800.0,739090.4625,739090462.5
2023,10,대구본부,744,2667076,196402725900.0,1112970.8148,1112970814.8
2023,10,대전세종충남본부,744,4875716,355020590700.0,2034636.2868000001,2034636286.8
2023,10,부산울산본부,744,4672562,341364409800.0,1949860.1226000001,1949860122.6
2023,10,서울본부,744,1340326,100247872200.0,559318.0398,559318039.8
2023,10,인천본부,744,2471780,183303192600.0,1031473.794,1031473794.0
2023,10,전북본부,744,1442523,105377879400.0,601964.8479,601964847.9
2023,10,제주본부,744,404824,29900487000.0,168933.0552,168933055.2
2023,10,충북본부,744,2080014,151711019700.0,867989.8422,867989842.2
2023,11,강원본부,720,1345307,131554027299.99998,561396.6111,561396611.1
2023,11,경기본부,720,7503167,749814340700.0,3131071.5891,3131071589.1
2023,11,경기북부본부,720,2025971,203774366100.0,845437.6983,845437698.3
2023,11,경남본부,720,2031020,201199954400.0,847544.646,847544646.0
2023,11,경북본부,720,1153104,113496006800.0,481190.2992,481190299.2
2023,11,광주전남본부,720,2820339,279050333300.0,1176927.4647000001,1176927464.7
2023,11,남서울본부,720,1933528,197993441500.0,806861.2344,806861234.4
2023,11,대구본부,720,2818159,281684679300.0,1176017.7507,1176017750.7
2023,11,대전세종충남본부,720,5066130,500050608200.0,2114096.049,2114096049.0
2023,11,부산울산본부,720,4606432,456785665300.0,1922264.0736,1922264073.6
2023,11,서울본부,720,1486810,152269850300.0,620445.813,620445813.0
2023,11,인천본부,720,2730112,276135258200.0,1139275.7376,1139275737.6
2023,11,전북본부,720,1521717,150409722600.0,635012.5041,635012504.1
2023,11,제주본부,720,418478,41943955700.0,174630.8694,174630869.4
2023,11,충북본부,720,2223257,219220542800.0,927765.1461,927765146.1
2023,12,강원본부,744,1534424,149485999900.0,640315.1352,640315135.2
2023,12,경기본부,744,8072058,806129087400.0,3368469.8034,3368469803.4
2023,12,경기북부본부,744,2296950,230480395000.0,958517.235,958517235.0
